Results from heasarc_atnfpulsar: ATNF Pulsar Catalog
Coordinate system: Equatorial
|name            |period               |period_error|period_dot |period_dot_error|median_mass|age     |corr_age |
|PSR J1300+1240  |0.00621853194840048  |     3.0e-17|1.14334e-19|         4.0e-25|     0.0000|8.62e+08| 6.45e+09|
|PSR J1421-4409  |0.0063857288383424   |     1.0e-16|1.23660e-20|         7.0e-24|     0.2055|8.18e+09| 1.69e+10|
|PSR J1801-3210  |0.0074535843734649   |     6.0e-16|7.20000e-23|         1.2e-23|     0.1609|1.64e+12|-3.40e+10|
|PSR J1045-4509  |0.00747422423014427  |     4.0e-17|1.76640e-20|         5.0e-25|     0.1857|6.70e+09| 6.86e+09|
|PSR J0024-7204T |0.0075884798073671   |     1.2e-15|2.93805e-19|         1.2e-23|     0.1954|4.09e+08| 4.13e+08|
|PSR J1405-4656  |0.00760220343251     |     1.0e-14|2.79000e-20|         4.0e-22|     0.2459|4.32e+09|-1.25e+11|
|PSR J1918-0642  |0.007645872769642047 |     1.0e-17|2.56914e-20|         1.8e-25|     0.2777|4.72e+09| 5.07e+09|
|PSR J1455-3330  |0.00798720480668373  |     3.0e-17|2.43045e-20|         4.0e-25|     0.2970|5.21e+09| 5.40e+09|
|PSR J1804-2717  |0.009343030844543    |     4.0e-15|4.08500e-20|         5.0e-23|     0.2348|3.62e+09| 4.18e+09|
|PSR J1337-6423  |0.009423406717798    |     1.7e-14|2.46900e-20|         1.8e-22|     0.9492|6.05e+09| 1.14e+10|
|PSR J0824+0028  |0.0098613486703673   |     1.0e-15|1.46890e-19|         2.0e-23|     0.4009|1.06e+09| 1.09e+09|
|PSR J1623-2631  |0.0110757509142025   |     1.8e-15|6.70930e-19|         4.0e-23|     0.3254|2.62e+08| 2.72e+08|
|PSR J0900-3144  |0.0111096493380938   |     6.0e-16|4.88800e-20|         1.1e-23|     0.4236|3.60e+09| 3.61e+09|
|PSR J2053+4650  |0.0125862753143500   |     1.6e-15|1.72280e-19|         1.0e-22|     1.0166|1.16e+09| 1.19e+09|
|PSR J1802-2124  |0.0126475935865227   |     4.0e-16|7.25600e-20|         3.0e-23|     0.9818|2.76e+09| 2.78e+09|
|PSR J1949+3106  |0.01313818315216539  |     1.1e-16|9.39235e-20|         1.3e-24|     0.9669|2.22e+09| 2.43e+09|
|PSR J1748-2021D |0.013495820403909    |     3.0e-15|5.86770e-19|         1.7e-22|     0.1412|3.64e+08| 3.67e+08|
|PSR J1603-7202  |0.01484195225261733  |     5.0e-17|1.56292e-20|         4.0e-25|     0.3378|1.50e+10| 3.09e+10|
|PSR J2145-0750  |0.01605242392107269  |     3.0e-17|2.97926e-20|         3.0e-25|     0.5033|8.54e+09| 1.02e+10|
|PSR J1022+1001  |0.01645292995844926  |     6.0e-17|4.33391e-20|         5.0e-25|     0.8530|6.01e+09| 7.16e+09|
|PSR J1745-0952  |0.0193763034411294   |     1.9e-15|9.24600e-20|         5.0e-23|     0.1256|3.32e+09| 3.55e+09|
|PSR J1952+2630  |0.020732360091374    |     3.0e-15|4.27162e-18|         4.0e-23|     1.1328|7.69e+07| 7.72e+07|
|PSR J0737-3039A |0.0226993785996239   |     1.1e-15|1.75993e-18|         6.0e-23|     1.5594|2.04e+08| 2.04e+08|
|PSR J1804-0735  |0.02310085528430     |     3.0e-14|4.67100e-19|         3.0e-22|     0.3474|7.84e+08| 8.33e+08|
|PSR J1622-6617  |0.023623444739392    |     1.2e-14|5.88000e-20|         3.0e-22|     0.1070|6.36e+09| 7.74e+09|
